Event_Number,Type,Note_Number,Note_Name,Velocity,Duration_Ticks,Duration_Name,Duration_Spanish
1,note,34,A#1,80,720,1/4 dotted,negra con puntillo
2,note,32,G#1,80,1440,1/2 dotted,blanca con puntillo
3,note,25,C#1,80,90,1/32 dotted,fusa con puntillo
4,rest,,,,960,1/2,blanca
5,rest,,,,1920,whole,redonda
6,note,26,D1,80,960,1/2,blanca
7,note,30,F#1,80,2880,whole dotted,redonda con puntillo
8,note,28,E1,80,1440,1/2 dotted,blanca con puntillo
9,rest,,,,60,1/32,fusa
10,note,35,B1,80,960,1/2,blanca
11,note,27,D#1,80,1440,1/2 dotted,blanca con puntillo
12,note,33,A1,80,180,1/16 dotted,semicorchea con puntillo
13,note,29,F1,80,960,1/2,blanca
14,rest,,,,120,1/16,semicorchea
15,note,31,G1,80,90,1/32 dotted,fusa con puntillo
16,rest,,,,960,1/2,blanca
17,note,24,C1,80,480,1/4,negra
18,note,24,C1,80,360,1/8 dotted,corchea con puntillo
19,note,31,G1,80,2880,whole dotted,redonda con puntillo
20,note,29,F1,80,480,1/4,negra
21,note,33,A1,80,960,1/2,blanca
22,rest,,,,1920,whole,redonda
23,note,27,D#1,80,120,1/16,semicorchea
24,note,35,B1,80,480,1/4,negra
25,note,28,E1,80,2880,whole dotted,redonda con puntillo
26,note,30,F#1,80,1920,whole,redonda
27,note,26,D1,80,90,1/32 dotted,fusa con puntillo
28,note,25,C#1,80,60,1/32,fusa
29,rest,,,,60,1/32,fusa
30,note,32,G#1,80,1920,whole,redonda
31,rest,,,,60,1/32,fusa
32,note,34,A#1,80,2880,whole dotted,redonda con puntillo
33,note,34,A#1,80,720,1/4 dotted,negra con puntillo
34,note,36,C2,80,960,1/2,blanca
35,note,43,G2,80,720,1/4 dotted,negra con puntillo
36,note,42,F#2,80,60,1/32,fusa
37,rest,,,,1920,whole,redonda
38,note,38,D2,80,1440,1/2 dotted,blanca con puntillo
39,rest,,,,480,1/4,negra
40,rest,,,,960,1/2,blanca
41,note,40,E2,80,120,1/16,semicorchea
42,rest,,,,120,1/16,semicorchea
43,note,33,A1,80,180,1/16 dotted,semicorchea con puntillo
44,rest,,,,1920,whole,redonda
45,note,41,F2,80,60,1/32,fusa
46,note,35,B1,80,960,1/2,blanca
47,note,39,D#2,80,1440,1/2 dotted,blanca con puntillo
48,note,37,C#2,80,120,1/16,semicorchea
49,note,44,G#2,80,1920,whole,redonda
50,note,44,G#2,80,1920,whole,redonda
51,rest,,,,240,1/8,corchea
52,rest,,,,60,1/32,fusa
53,note,37,C#2,80,90,1/32 dotted,fusa con puntillo
54,note,39,D#2,80,60,1/32,fusa
55,rest,,,,1920,whole,redonda
56,note,35,B1,80,2880,whole dotted,redonda con puntillo
57,note,41,F2,80,180,1/16 dotted,semicorchea con puntillo
58,note,33,A1,80,90,1/32 dotted,fusa con puntillo
59,note,40,E2,80,1920,whole,redonda
60,note,38,D2,80,120,1/16,semicorchea
61,note,42,F#2,80,180,1/16 dotted,semicorchea con puntillo
62,note,43,G2,80,180,1/16 dotted,semicorchea con puntillo
63,rest,,,,480,1/4,negra
64,note,36,C2,80,240,1/8,corchea
65,rest,,,,120,1/16,semicorchea
